sample,fastq_1,fastq_2
199,../fastq/199_C7JRYANXX_ATGTCA_L008_R1.fastq.gz,../fastq/199_C7JRYANXX_ATGTCA_L008_R2.fastq.gz
199,../fastq/199_C80GMANXX_ATGTCA_L008_R1.fastq.gz,../fastq/199_C80GMANXX_ATGTCA_L008_R2.fastq.gz
205,../fastq/205_C7JRYANXX_CCGTCC_L008_R1.fastq.gz,../fastq/205_C7JRYANXX_CCGTCC_L008_R2.fastq.gz
205,../fastq/205_C80GMANXX_CCGTCC_L008_R1.fastq.gz,../fastq/205_C80GMANXX_CCGTCC_L008_R2.fastq.gz
206,../fastq/206_C7JRYANXX_CAGATC_L003_R1.fastq.gz,../fastq/206_C7JRYANXX_CAGATC_L003_R2.fastq.gz
206,../fastq/206_C80GMANXX_CAGATC_L003_R1.fastq.gz,../fastq/206_C80GMANXX_CAGATC_L003_R2.fastq.gz
207,../fastq/207_C7JRYANXX_GTCCGC_L008_R1.fastq.gz,../fastq/207_C7JRYANXX_GTCCGC_L008_R2.fastq.gz
207,../fastq/207_C80GMANXX_GTCCGC_L008_R1.fastq.gz,../fastq/207_C80GMANXX_GTCCGC_L008_R2.fastq.gz
208,../fastq/208_C80GMANXX_ACTTGA_L003_R1.fastq.gz,../fastq/208_C80GMANXX_ACTTGA_L003_R2.fastq.gz
208,../fastq/208_C85J7ANXX_ACTTGA_L005_R1.fastq.gz,../fastq/208_C85J7ANXX_ACTTGA_L005_R2.fastq.gz
209,../fastq/209_C80GMANXX_GATCAG_L004_R1.fastq.gz,../fastq/209_C80GMANXX_GATCAG_L004_R2.fastq.gz
209,../fastq/209_C85J7ANXX_GATCAG_L005_R1.fastq.gz,../fastq/209_C85J7ANXX_GATCAG_L005_R2.fastq.gz
210,../fastq/210_C80GMANXX_TAGCTT_L004_R1.fastq.gz,../fastq/210_C80GMANXX_TAGCTT_L004_R2.fastq.gz
210,../fastq/210_C85J7ANXX_TAGCTT_L005_R1.fastq.gz,../fastq/210_C85J7ANXX_TAGCTT_L005_R2.fastq.gz
211,../fastq/211_C80GMANXX_GGCTAC_L004_R1.fastq.gz,../fastq/211_C80GMANXX_GGCTAC_L004_R2.fastq.gz
211,../fastq/211_C85J7ANXX_GGCTAC_L005_R1.fastq.gz,../fastq/211_C85J7ANXX_GGCTAC_L005_R2.fastq.gz
218,../fastq/218_C80GMANXX_CTTGTA_L004_R1.fastq.gz,../fastq/218_C80GMANXX_CTTGTA_L004_R2.fastq.gz
218,../fastq/218_C85J7ANXX_CTTGTA_L005_R1.fastq.gz,../fastq/218_C85J7ANXX_CTTGTA_L005_R2.fastq.gz
219,../fastq/219_C80GMANXX_AGTCAA_L004_R1.fastq.gz,../fastq/219_C80GMANXX_AGTCAA_L004_R2.fastq.gz
219,../fastq/219_C85J7ANXX_AGTCAA_L005_R1.fastq.gz,../fastq/219_C85J7ANXX_AGTCAA_L005_R2.fastq.gz
220,../fastq/220_C80GMANXX_AGTTCC_L004_R1.fastq.gz,../fastq/220_C80GMANXX_AGTTCC_L004_R2.fastq.gz
220,../fastq/220_C85J7ANXX_AGTTCC_L005_R1.fastq.gz,../fastq/220_C85J7ANXX_AGTTCC_L005_R2.fastq.gz
221,../fastq/221_C80GMANXX_ATGTCA_L004_R1.fastq.gz,../fastq/221_C80GMANXX_ATGTCA_L004_R2.fastq.gz
221,../fastq/221_C85J7ANXX_ATGTCA_L005_R1.fastq.gz,../fastq/221_C85J7ANXX_ATGTCA_L005_R2.fastq.gz
223,../fastq/223_C7JRYANXX_GTGAAA_L008_R1.fastq.gz,../fastq/223_C7JRYANXX_GTGAAA_L008_R2.fastq.gz
223,../fastq/223_C80GMANXX_GTGAAA_L008_R1.fastq.gz,../fastq/223_C80GMANXX_GTGAAA_L008_R2.fastq.gz
229,../fastq/229_C7JRYANXX_GTGGCC_L008_R1.fastq.gz,../fastq/229_C7JRYANXX_GTGGCC_L008_R2.fastq.gz
229,../fastq/229_C80GMANXX_GTGGCC_L008_R1.fastq.gz,../fastq/229_C80GMANXX_GTGGCC_L008_R2.fastq.gz
230,../fastq/230_C80GMANXX_CCGTCC_L004_R1.fastq.gz,../fastq/230_C80GMANXX_CCGTCC_L004_R2.fastq.gz
230,../fastq/230_C85J7ANXX_CCGTCC_L005_R1.fastq.gz,../fastq/230_C85J7ANXX_CCGTCC_L005_R2.fastq.gz
